"Guid","Name","SBQQ__CostEditable__c","SBQQ__DefaultQuantity__c","SBQQ__DiscountSchedule__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__PriceBook__c","SBQQ__PriceEditable__c","SBQQ__QuantityEditable__c","SBQQ__QuantityScale__c","SBQQ__Taxable__c","SBQQ__TermDiscountSchedule__c","SBQQ__Type__c","SBQQ__UnitPrice__c"
71fbb151-716a-4379-9671-3e160e7055ed,Yearly Price,Inherit,"#N/A","#N/A",Inherit,Inherit,"#N/A",Inherit,Inherit,"#N/A",Inherit,"#N/A",Year,"#N/A"
95e93aa1-0808-4e55-8e44-85db6f049dab,Yearly Price,Inherit,"#N/A","#N/A",Inherit,Inherit,"#N/A",Inherit,Inherit,"#N/A",Inherit,"#N/A",Year,"#N/A"
