Guid,Name,SBQQ__Action__c,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ParentCustomAction__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
2e31a7ae-3c73-46d0-802d-1476b36ba7b6,Refresh Prices,Refresh Prices,true,false,#N/A,All,false,#N/A,918.0,#N/A,#N/A,#N/A,Refresh Prices,Quote Panel,RefreshQuotePrice,Quote Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
ea0775a0-cbc7-42db-af67-bda5ca1cec8b,Calculate,Calculate,true,false,calculateBtn,All,false,#N/A,913.0,onFlagCalculate,#N/A,#N/A,Calculate,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
9e6a05e4-266b-4436-81ee-0f76a2cbb35e,Separator,#N/A,true,false,#N/A,All,false,#N/A,200.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
0346c931-cffa-434a-b645-55cb388e88b7,View Discount Schedule,View Discount Schedule,true,false,viewDSBtn,All,false,#N/A,997.0,showDSModal,sf-icon-discountscheduleicons-02,discountscheduleicons-02,View Discount Schedule,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
a9de0a64-2844-45e8-aec0-d854601854d6,View,View,true,false,#N/A,All,false,#N/A,960.0,#N/A,#N/A,#N/A,View,Quote Document Panel,ViewDocument,Quote Document Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
6e1ad8e0-7ac8-42ed-a482-8a5ebe9cf93e,Modify Quote Terms,Modify Quote Terms,true,false,#N/A,All,false,#N/A,915.0,#N/A,#N/A,#N/A,Modify Quote Terms,Quote Panel,QuoteTermEditor,Quote Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
21f238fe-6346-4158-9588-757658f4f856,Create Order,Create Order,true,false,#N/A,All,false,#N/A,911.0,#N/A,#N/A,#N/A,Create Order,Quote Panel,CreateOrderFromQuote,Quote Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
7d61956c-4409-403d-8fe2-9a10474dfb00,Include Document,Include Document,true,false,#N/A,All,false,#N/A,916.0,#N/A,#N/A,#N/A,Include Document,Quote Panel,NewQuoteRelatedContent,Quote Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
1998fcf0-9ab5-4c4d-8e27-83494f4eeb82,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,#N/A,903.0,onRenewSubscriptions,#N/A,#N/A,Renew Subscriptions,Quote/Group,#N/A,Quote Line Editor,d4c345c2-3f88-4bb6-8545-36cb7d460f73,#N/A,#N/A,Button,#N/A,#N/A
fd75ac7d-88e2-4235-b468-ac7b87264219,Reconfigure Line,Reconfigure Line,true,false,reconfigureBtn,All,false,#N/A,992.0,onReconfigureLine,sf-icon-custom_apps,custom_apps,Reconfigure Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
